
=== Flow conditions ===
-- ue [m/s] = 869.1
-- pe [Pa] = 697.066
-- Te [K] = 55.2
-- Tw [K] = 97.5
-- Me = 5.83573
-- Taw [K] = 392.18
-- rhoe [kg/m^3] = 0.044
-- rhow [kg/m^3] = 0.0249108
-- delta [m] = 0.00124
-- Ny = 1000
-- mu_w [m^2/s] = 6.73838e-06
-- mu_e [m^2/s] = 3.60372e-06

=== Boundary layer values ===
-- Left:   delta = 0.00121917	 u_tau = 34.5228	 Re_tau = 155.598	 Cf = 0.00178664	 x = 0.050107
-- Center: delta = 0.00124	 u_tau = 34.4741	 Re_tau = 158.033	 Cf = 0.00178161	 x = 0.051107
-- Right:  delta = 0.00126077	 u_tau = 34.4265	 Re_tau = 160.457	 Cf = 0.00177668	 x = 0.052107

=== Left state ===
-- PI = 2.24693
-- T[1] = 97.5	T[Ny] = 55.2
-- rho[1] = 0.0249108	rho[Ny] = 0.044

=== Center state ===
-- PI = 2.24312
-- T[1] = 97.5	T[Ny] = 55.2
-- rho[1] = 0.0249108	rho[Ny] = 0.044

=== Right state ===
-- PI = 2.23942
-- T[1] = 97.5	T[Ny] = 55.2
-- rho[1] = 0.0249108	rho[Ny] = 0.044

-- Beginning interpolation
15.0339	0.000751642
15.097	0.000758773
15.1604	0.000765969
15.2242	0.000773229
15.2884	0.000780554
15.3529	0.000787946
15.4179	0.000795405
15.4833	0.000802931
15.549	0.000810525
15.6152	0.000818188
15.6817	0.00082592
15.7487	0.000833723
15.816	0.000841597
15.8838	0.000849542
15.9521	0.00085756
16.0207	0.000865651
16.0898	0.000873816
16.1594	0.000882055
16.2294	0.00089037
16.2998	0.000898762
16.3707	0.00090723
16.442	0.000915777
16.5138	0.000924401
16.5861	0.000933106
16.659	0.000941891
16.7322	0.000950757
16.8059	0.000959705
16.8801	0.000968736
16.9548	0.00097785
17.03	0.00098705
17.1058	0.000996335
17.1821	0.00100571
17.2589	0.00101516
17.3361	0.00102471
17.4139	0.00103435
17.4922	0.00104407
17.5712	0.00105389
17.6507	0.0010638
17.7307	0.00107381
17.8112	0.0010839
17.8922	0.0010941
17.9739	0.00110438
18.0563	0.00111477
18.1392	0.00112525
18.2225	0.00113584
18.3065	0.00114652
18.3911	0.00115731
18.4765	0.00116819
18.5624	0.00117919
18.6488	0.00119028
18.7358	0.00120149
18.8234	0.0012128
18.912	0.00122422
19.001	0.00123574
19.0906	0.00124738
19.1808	0.00125913
19.272	0.001271
19.3638	0.00128298
19.456	0.00129507
19.5489	0.00130728
19.6425	0.00131961
19.7373	0.00133206
19.8324	0.00134463
19.9281	0.00135733
20.0245	0.00137015
20.1221	0.00138309
20.2202	0.00139616
20.3189	0.00140935
20.4183	0.00142268
20.5189	0.00143614
20.6201	0.00144973
20.7217	0.00146345
20.8242	0.00147731
20.928	0.00149131
21.0324	0.00150545
21.1372	0.00151972
21.2429	0.00153414
21.35	0.0015487
21.4576	0.00156341
21.5658	0.00157826
21.6748	0.00159326
21.7855	0.00160841
21.8965	0.00162371
22.0081	0.00163917
22.121	0.00165478
22.2351	0.00167055
22.3495	0.00168648
22.4647	0.00170257
22.5817	0.00171883
22.6993	0.00173524
22.8173	0.00175183
22.9365	0.00176858
23.0574	0.00178551
23.1786	0.0018026
23.3005	0.00181987
23.4243	0.00183732
23.5489	0.00185495
23.6739	0.00187276
23.8001	0.00189075
23.9282	0.00190893
24.0567	0.00192729
24.1858	0.00194585
24.3172	0.00196459
24.4492	0.00198353
24.5816	0.00200267
24.7158	0.00202201
24.8515	0.00204155
24.9875	0.00206129
25.1248	0.00208124
25.2642	0.0021014
25.404	0.00212177
25.5445	0.00214236
25.6878	0.00216316
25.8314	0.00218418
25.9756	0.00220543
26.1222	0.00222689
26.2699	0.00224859
26.418	0.00227052
26.5681	0.00229268
26.72	0.00231508
26.8722	0.00233771
27.026	0.00236059
27.1821	0.00238372
27.3386	0.00240709
27.4963	0.00243071
27.6568	0.00245459
27.8176	0.00247873
